#  del   beta      DTM   NPC  NC   SR    RR  time
#   1.0  0.50   0.0100   45  20   6.0   3.0 254500.
#----------------------------------------------------------------------
#  F= 0.1016420 ,  Qt=-0.0020620 ,  Qb= 0.2635890
#----------------------------------------------------------------------
# local pressure and heat flux
#    r        p top         p bot         h top         h bot
   0.025     0.24600E-02   0.10038E+00  -0.27064E-02   0.25978E+00
   0.075     0.18000E-02   0.10047E+00  -0.24255E-02   0.26019E+00
   0.125     0.12900E-02   0.10017E+00  -0.23843E-02   0.25974E+00
   0.175     0.84000E-03   0.99930E-01  -0.21854E-02   0.26039E+00
   0.225     0.12300E-02   0.99780E-01  -0.24573E-02   0.25995E+00
   0.275     0.54000E-03   0.99900E-01  -0.23517E-02   0.26042E+00
   0.325     0.99000E-03   0.99810E-01  -0.22690E-02   0.26052E+00
   0.375     0.66000E-03   0.10011E+00  -0.23485E-02   0.26074E+00
   0.425     0.60000E-03   0.10047E+00  -0.23593E-02   0.26104E+00
   0.475     0.45000E-03   0.10092E+00  -0.23134E-02   0.26137E+00
   0.525     0.69000E-03   0.10050E+00  -0.22341E-02   0.26148E+00
   0.575     0.24000E-03   0.10083E+00  -0.21174E-02   0.26196E+00
   0.625     0.48000E-03   0.10140E+00  -0.20032E-02   0.26253E+00
   0.675     0.75000E-03   0.10197E+00  -0.20455E-02   0.26315E+00
   0.725     0.51000E-03   0.10212E+00  -0.20567E-02   0.26347E+00
   0.775     0.75000E-03   0.10233E+00  -0.18417E-02   0.26407E+00
   0.825     0.24000E-03   0.10311E+00  -0.19059E-02   0.26480E+00
   0.875     0.30000E-03   0.10407E+00  -0.19498E-02   0.26573E+00
   0.925     0.45000E-03   0.10419E+00  -0.19198E-02   0.26684E+00
   0.975     0.33000E-03   0.10509E+00  -0.18231E-02   0.26783E+00
